"NUTS3_ID","nuts3","age","sex","pop"
"DE256","Ansbach County","[03-06)","female",2879
"DE256","Ansbach County","[06-10)","female",3326
"DE256","Ansbach County","[10-15)","female",4136
"DE256","Ansbach County","[15-18)","female",2564
"DE256","Ansbach County","[18-20)","female",1725
"DE256","Ansbach County","[20-25)","female",4791
"DE256","Ansbach County","[25-30)","female",4898
"DE256","Ansbach County","[30-35)","female",5653
"DE256","Ansbach County","[35-40)","female",5642
"DE256","Ansbach County","[40-45)","female",5614
"DE256","Ansbach County","[45-50)","female",5556
"DE256","Ansbach County","[50-55)","female",7177
"DE256","Ansbach County","[55-60)","female",7928
"DE256","Ansbach County","[60-65)","female",7053
"DE256","Ansbach County","[65-75)","female",10450
"DE256","Ansbach County","[75+)","female",10570
"DE256","Ansbach County","[00-03)","male",2967
"DE256","Ansbach County","[03-06)","male",2864
"DE256","Ansbach County","[06-10)","male",3575
"DE256","Ansbach County","[10-15)","male",4433
"DE256","Ansbach County","[15-18)","male",2749
"DE256","Ansbach County","[18-20)","male",1998
"DE256","Ansbach County","[20-25)","male",5516
"DE256","Ansbach County","[25-30)","male",5672
"DE256","Ansbach County","[30-35)","male",6102
"DE256","Ansbach County","[35-40)","male",5960
"DE256","Ansbach County","[40-45)","male",5822
"DE256","Ansbach County","[45-50)","male",5711
"DE256","Ansbach County","[50-55)","male",7263
"DE256","Ansbach County","[55-60)","male",8073
"DE256","Ansbach County","[60-65)","male",7263
"DE256","Ansbach County","[65-75)","male",10137
"DE256","Ansbach County","[75+)","male",7457
"DE251","City of Ansbach","[00-03)","female",683
"DE251","City of Ansbach","[03-06)","female",624
"DE251","City of Ansbach","[06-10)","female",726
"DE251","City of Ansbach","[10-15)","female",888
"DE251","City of Ansbach","[15-18)","female",573
"DE251","City of Ansbach","[18-20)","female",396
"DE251","City of Ansbach","[20-25)","female",1230
"DE251","City of Ansbach","[25-30)","female",1310
"DE251","City of Ansbach","[30-35)","female",1332
"DE251","City of Ansbach","[35-40)","female",1278
"DE251","City of Ansbach","[40-45)","female",1275
"DE251","City of Ansbach","[45-50)","female",1260
"DE251","City of Ansbach","[50-55)","female",1515
"DE251","City of Ansbach","[55-60)","female",1729
"DE251","City of Ansbach","[60-65)","female",1595
"DE251","City of Ansbach","[65-75)","female",2476
"DE251","City of Ansbach","[75+)","female",2826
"DE251","City of Ansbach","[00-03)","male",731
"DE251","City of Ansbach","[03-06)","male",615
"DE251","City of Ansbach","[06-10)","male",741
"DE251","City of Ansbach","[10-15)","male",884
"DE251","City of Ansbach","[15-18)","male",588
"DE251","City of Ansbach","[18-20)","male",384
"DE251","City of Ansbach","[20-25)","male",1344
"DE251","City of Ansbach","[25-30)","male",1387
"DE251","City of Ansbach","[30-35)","male",1372
"DE251","City of Ansbach","[35-40)","male",1281
"DE251","City of Ansbach","[40-45)","male",1186
"DE251","City of Ansbach","[45-50)","male",1129
"DE251","City of Ansbach","[50-55)","male",1465
"DE251","City of Ansbach","[55-60)","male",1595
"DE251","City of Ansbach","[60-65)","male",1416
"DE251","City of Ansbach","[65-75)","male",2061
"DE251","City of Ansbach","[75+)","male",1767
"DE264","Aschaffenburg County","[00-03)","female",2478
"DE264","Aschaffenburg County","[03-06)","female",2460
"DE264","Aschaffenburg County","[06-10)","female",2982
"DE264","Aschaffenburg County","[10-15)","female",3790
"DE264","Aschaffenburg County","[15-18)","female",2320
"DE264","Aschaffenburg County","[18-20)","female",1567
"DE264","Aschaffenburg County","[20-25)","female",3839
"DE264","Aschaffenburg County","[25-30)","female",4323
"DE264","Aschaffenburg County","[30-35)","female",5135
"DE264","Aschaffenburg County","[35-40)","female",5315
"DE264","Aschaffenburg County","[40-45)","female",5293
"DE264","Aschaffenburg County","[45-50)","female",5281
"DE264","Aschaffenburg County","[50-55)","female",7113
"DE264","Aschaffenburg County","[55-60)","female",8139
"DE264","Aschaffenburg County","[60-65)","female",6898
"DE264","Aschaffenburg County","[65-75)","female",10420
"DE264","Aschaffenburg County","[75+)","female",10822
"DE264","Aschaffenburg County","[00-03)","male",2612
"DE264","Aschaffenburg County","[03-06)","male",2609
"DE264","Aschaffenburg County","[06-10)","male",3251
"DE264","Aschaffenburg County","[10-15)","male",3912
"DE264","Aschaffenburg County","[15-18)","male",2461
"DE264","Aschaffenburg County","[18-20)","male",1667
"DE264","Aschaffenburg County","[20-25)","male",4498
"DE264","Aschaffenburg County","[25-30)","male",4717
"DE264","Aschaffenburg County","[30-35)","male",5355
"DE264","Aschaffenburg County","[35-40)","male",5466
"DE264","Aschaffenburg County","[40-45)","male",5219
"DE264","Aschaffenburg County","[45-50)","male",4880
"DE264","Aschaffenburg County","[50-55)","male",7021
"DE264","Aschaffenburg County","[55-60)","male",8033
"DE264","Aschaffenburg County","[60-65)","male",6989
"DE264","Aschaffenburg County","[65-75)","male",9911
"DE264","Aschaffenburg County","[75+)","male",8189
"DE261","City of Aschaffenburg","[00-03)","female",1027
"DE261","City of Aschaffenburg","[03-06)","female",973
"DE261","City of Aschaffenburg","[06-10)","female",1168
"DE261","City of Aschaffenburg","[10-15)","female",1489
"DE261","City of Aschaffenburg","[15-18)","female",907
"DE261","City of Aschaffenburg","[18-20)","female",651
"DE261","City of Aschaffenburg","[20-25)","female",1937
"DE261","City of Aschaffenburg","[25-30)","female",2271
"DE261","City of Aschaffenburg","[30-35)","female",2612
"DE261","City of Aschaffenburg","[35-40)","female",2360
"DE261","City of Aschaffenburg","[40-45)","female",2190
